IP	Port
45.43.57.172	8843
45.43.57.172	8056
45.43.57.172	8080
45.43.57.172	9993
45.43.57.172	5801
45.43.57.172	631
45.43.57.172	8010
45.43.57.172	3114
45.43.57.172	8845
45.43.57.172	3950
45.43.57.172	8092
45.43.57.172	9943
45.43.57.172	3780
106.52.115.145	10243
106.52.115.145	9204
106.52.115.145	646
106.52.115.145	4848
106.52.115.145	4042
123.207.23.211	9311
123.207.23.211	8859
123.207.23.211	5900
123.207.23.211	3051
123.207.23.211	225
123.207.23.211	8816
123.207.23.211	8871
42.194.230.121	8159
42.194.230.121	4002
42.194.230.121	2096
42.194.230.121	1344
42.194.230.121	9204
42.194.230.121	9088
42.194.230.121	3002
42.194.230.121	8807
42.194.230.121	8870
106.75.76.83	9090
106.75.76.83	3089
106.75.76.83	3953
106.75.76.83	180
106.75.76.83	3569
106.75.76.83	8090
106.75.76.83	8837
106.75.76.83	3049
106.75.76.83	9002
106.75.76.83	2506
106.75.76.83	2048
106.75.76.83	9211
106.75.76.83	8042
106.75.76.83	5431
106.75.71.81	90
117.48.120.226	8829
117.48.120.226	8621
117.48.120.226	9955
117.48.120.226	8935
117.48.120.226	8081
117.48.120.226	2320
117.48.120.226	8870
117.48.120.226	7654
45.43.62.235	9023
45.43.62.235	9500
45.43.62.235	3548
45.43.62.235	8825
45.43.62.235	9765
45.43.62.235	9981
45.43.62.235	8184
45.43.62.235	3098
45.43.62.235	8835
45.43.62.235	9994
45.43.62.235	8870
45.43.62.235	8052
45.43.62.235	8863
45.43.62.235	3690
45.43.62.235	8585
45.43.62.235	8118
45.43.62.235	3541
45.43.62.235	5609
45.43.62.235	10000
18.138.191.115	16010
18.138.191.115	9944
18.138.191.115	2375
18.138.191.115	8041
18.138.191.115	3088
18.138.191.115	8020
18.138.191.115	8140
18.138.191.115	8282
18.138.191.115	2006
18.138.191.115	3063
18.138.191.115	3081
18.138.191.115	2480
18.138.191.115	2086
18.138.191.115	3791
18.138.191.115	8080
18.138.191.115	7657
18.138.191.115	3780
18.138.191.115	8834
18.138.191.115	8103
18.138.191.115	28017
18.138.191.115	8021
18.138.191.115	9981
18.138.191.115	9943
18.138.191.115	5591
18.138.191.115	8112
18.138.191.115	10000
18.138.191.115	2087
45.43.57.172	2259
45.43.57.172	9013
45.43.57.172	8865
45.43.57.172	2050
45.43.57.172	2560
45.43.57.172	9221
45.43.57.172	8824
45.43.57.172	5984
45.43.57.172	3069
45.43.57.172	7535
45.43.57.172	9109
45.43.57.172	4443
45.43.57.172	80
45.43.57.172	2202
45.43.57.172	2059
45.43.57.172	1500
45.43.57.172	7443
45.43.57.172	3088
45.43.57.172	8443
45.43.57.172	3121
45.43.57.172	491
45.43.57.172	8622
106.52.115.145	10000
106.52.115.145	9944
123.207.23.211	8097
42.194.230.121	2059
42.194.230.121	447
